dialect	pos	standard
문두이	명사	문둥이
문딩이	명사	문둥이
물곳	명사	무릇
물부리개	명사	담뱃대
물줄기	명사	수맥
물쭈리	명사	물부리
미누리	명사	며느리
미어기	명사	메기
미엉	명사	명
미여기	명사	메기
미우다	동사	메우다
미재이	명사	미장이
미주	명사	메주
민도	명사	면도
민드라미	명사	맨드라미
민드라미	명사	민들레
민물괴기	명사	민물고기
밀창	명사	미닫이
밋	수사	몇
밋	관형사	몇
밋자리	명사	묏자리
및	명사	밑
바게미	명사	바구미
바게비	명사	바구미
바구니	명사	바구미
바귀미	명사	바구미
바꾸	명사	바퀴
바꾸	의존 명사	바퀴
바끼다	동사	바뀌다
바누질	명사	바느질
바뿌다	형용사	바쁘다
바수거리	명사	발채
바울	명사	방울
바작	명사	발채
반다시	부사	반드시
반버버리	명사	반벙어리
발툽	명사	발톱
발틉	명사	발톱
밤윳	명사	밤윷
밧	명사	밭
방구벌레	명사	폭탄먼지벌레
방매이	명사	방망이
방앗굉이	명사	방앗공이
배깥	명사	바깥
배꿉	명사	배꼽
배람박	명사	바람벽
배암자어	명사	뱀장어
배차	명사	배추
배터	명사	나루터
버금지	명사	바구니
버라지	명사	벌레
버리	명사	보리
버리	명사	벌의 방
버리쌀	명사	보리쌀
버마재미	명사	버마재비
버버리	명사	벙어리
벅	명사	아궁이
번디기	명사	번데기
베록	명사	벼룩
베슬	명사	볏
베슬	명사	볏
베실	명사	볏
베씨	명사	볍씨
베아리	명사	병아리
베짜이	명사	베짱이
벨로	부사	별로
벨안간	부사	별안간
벱씨	명사	볍씨
벳단	명사	볏단
벵	명사	병
벼실	명사	볏
보듬	명사	버짐
보선	명사	버선
보지개	명사	보조개
복상씨	명사	복사뼈
복송아	명사	복숭아
복숭	명사	복숭아
봄버리	명사	봄보리
봉도리	명사	봉우리
부꾸럽다	형용사	부끄럽다
부끄룹다	형용사	부끄럽다
부로	부사	부러
부루	명사	상추
부쇠	명사	부시
부수럼	명사	부스럼
부숫돌	명사	부싯돌
부어이	명사	부엉이
부초	명사	부추
불	명사	벌
불젓가락	명사	부젓가락
붕알	명사	불알
붤	명사	벌
붤	명사	벌
비개	명사	베개
비너	명사	비녀
비로	명사	비료
비슥하다	형용사	비슷하다
비실	명사	볏
비싯하다	형용사	비슷하다
비알	명사	비탈
비양기	명사	비행기
빌	명사	별
빙	명사	병
빙아리	명사	병아리
빠이뿌	명사	담뱃대
빡쥐	명사	박쥐
빤뜻허다	형용사	반듯하다
빨래줄	명사	빨랫줄
빼닫이	명사	서랍
빼이	명사	팽이
뼝아리	명사	병아리
뿌렝이	명사	뿌리
뿕어지다	동사	붉어지다
사구다	동사	사귀다
사기다	동사	사귀다
사리	명사	사레
사마구	명사	사마귀
사어	명사	상어
사을	명사	사흘
사토리	명사	사투리
삭젱이	명사	삭정이
삮갈리다	동사	섞갈리다
산기슥	명사	산기슭
산대지	명사	산돼지
산되지	명사	산돼지
산말랭이	명사	산마루
살쾌이	명사	살쾡이
새각시	명사	새색시
새끼손고락	명사	새끼손가락
새벅밥	명사	새벽밥
새복밥	명사	새벽밥
새알수지비	명사	새알심
새암	명사	샘
색이다	동사	삭히다
색히다	동사	삭히다
샥시	명사	색시
서룹다	형용사	서럽다
서숙	명사	조
서숙밥	명사	조밥
석수재이	명사	석수장이
성냥통	명사	성냥갑
성님	명사	올케
세고기	명사	쇠고기
소곰쟁이	명사	소금쟁이
소괴기	명사	소고기
소굼	명사	소금
소굼쟁이	명사	소금쟁이
소금자이	명사	소금쟁이
소금장사	명사	소금쟁이
소금장수	명사	소금쟁이
소꽁지	명사	소꼬리
소래	명사	소라
소망	명사	부리망
소발툽	명사	소의 발
소이	명사	송이
소캐	명사	솜
손고락	명사	손가락
손툽	명사	손톱
솔낭구	명사	소나무
솜체이	명사	송충이
송아치	명사	송아지
송챙이	명사	송충이
송쳉이	명사	송충이
송추이	명사	송충이
송치이	명사	송충이
쇄	명사	쇠
쇠	명사	소
